Category,Name,RelativePath,HrefPath,Length,LastWriteTime
00 ASHRAE,Standard 180-2018 -- Standard Practice for Inspection and Maintenance of Commercial Building HVAC Systems.pdf,00 Codes\00 ASHRAE\ASHRAE 180 - 2018\Standard 180-2018 -- Standard Practice for Inspection and Maintenance of Commercial Building HVAC Systems.pdf,../00 Codes/00 ASHRAE/ASHRAE 180 - 2018/Standard 180-2018 -- Standard Practice for Inspection and Maintenance of Commercial Building HVAC Systems.pdf,513889,2025-10-14 11:04
00 ASHRAE,ASHRAE Standard 189.1-2009 High-Performance Green Buildings.pdf,00 Codes\00 ASHRAE\ASHRAE 189.1 - 2009\ASHRAE Standard 189.1-2009 High-Performance Green Buildings.pdf,../00 Codes/00 ASHRAE/ASHRAE 189.1 - 2009/ASHRAE Standard 189.1-2009 High-Performance Green Buildings.pdf,50925867,2015-06-23 10:16
00 ASHRAE,ASHRAE Standard 189.1-2011 High-Performance Green Buildings.pdf,00 Codes\00 ASHRAE\ASHRAE 189.1 - 2011\ASHRAE Standard 189.1-2011 High-Performance Green Buildings.pdf,../00 Codes/00 ASHRAE/ASHRAE 189.1 - 2011/ASHRAE Standard 189.1-2011 High-Performance Green Buildings.pdf,17307249,2015-06-22 15:42
00 ASHRAE,ASHRAE Guideline 36 - High Performance Sequences of Operation for HVAC.pdf,00 Codes\00 ASHRAE\ASHRAE 36 - 2018\ASHRAE Guideline 36 - High Performance Sequences of Operation for HVAC.pdf,../00 Codes/00 ASHRAE/ASHRAE 36 - 2018/ASHRAE Guideline 36 - High Performance Sequences of Operation for HVAC.pdf,4245508,2021-06-14 15:06
00 ASHRAE,ASHRAE 55_2004 Thermal Environmental Conditiosn for Human Occupancy.pdf,00 Codes\00 ASHRAE\ASHRAE 55 - 2004\ASHRAE 55_2004 Thermal Environmental Conditiosn for Human Occupancy.pdf,../00 Codes/00 ASHRAE/ASHRAE 55 - 2004/ASHRAE 55_2004 Thermal Environmental Conditiosn for Human Occupancy.pdf,1510433,2005-07-14 14:50
00 ASHRAE,ASHRAE-55-2010.pdf,00 Codes\00 ASHRAE\ASHRAE 55 - 2010\ASHRAE-55-2010.pdf,../00 Codes/00 ASHRAE/ASHRAE 55 - 2010/ASHRAE-55-2010.pdf,2405791,2019-11-04 13:06
00 ASHRAE,ASHRAE 55 2013 User Manual.pdf,00 Codes\00 ASHRAE\ASHRAE 55 - 2013\ASHRAE 55 2013 User Manual.pdf,../00 Codes/00 ASHRAE/ASHRAE 55 - 2013/ASHRAE 55 2013 User Manual.pdf,3561155,2019-11-04 14:18
00 ASHRAE,ASHRAE 55 2017.pdf,00 Codes\00 ASHRAE\ASHRAE 55 - 2017\ASHRAE 55 2017.pdf,../00 Codes/00 ASHRAE/ASHRAE 55 - 2017/ASHRAE 55 2017.pdf,7887866,2020-04-26 12:52
00 ASHRAE,62-2001_Addendum-n.pdf,00 Codes\00 ASHRAE\ASHRAE 62.1 - 2001\62-2001_Addendum-n.pdf,../00 Codes/00 ASHRAE/ASHRAE 62.1 - 2001/62-2001_Addendum-n.pdf,231450,2020-02-06 17:16
00 ASHRAE,62-2001_Addendum-y.pdf,00 Codes\00 ASHRAE\ASHRAE 62.1 - 2001\62-2001_Addendum-y.pdf,../00 Codes/00 ASHRAE/ASHRAE 62.1 - 2001/62-2001_Addendum-y.pdf,181865,2019-03-20 15:32
